name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
RANDOM_MGC_4485,12,144,12,12,-175.232,-175.232,-14.602666666666666,-14.602666666666666,135.59877955555558,11.644688899045589,-17.0955,-22.15325,-5.3705,-36.231,5.818,0.0,0.0833333333333333,0.9166666666666666,2.4849066497880004,3.4641016151377544,-30.0,0.4867555555555555,medium,1.322262317767486,1.322262317767486,12,-14.602666666666666,11.644688899045589,-17.0955,0,1,11,KEGG_Random
RANDOM_MGC_4527,6,36,6,6,-65.92599999999999,-65.92599999999999,-10.987666666666664,-10.987666666666664,226.17090222222225,15.03897942754834,-12.3285,-17.42325,-5.6655,-34.096,15.393,0.0,0.1666666666666666,0.8333333333333334,1.791759469228055,2.449489742783178,-30.0,0.3662555555555554,small,1.2642036931380212,1.2642036931380212,6,-10.987666666666664,15.03897942754834,-12.3285,0,1,5,KEGG_Random
RANDOM_MGC_4501,6,36,6,6,-792.6109999999999,-792.6109999999999,-132.1018333333333,-132.1018333333333,2277.1837588055555,47.71984659243527,-116.318,-174.20825,-96.8195,-201.62,-74.53,1.0,0.0,0.0,1.791759469228055,2.449489742783178,-30.0,4.403394444444444,small,-2.1396094209053653,-2.1396094209053653,6,-132.1018333333333,47.71984659243527,-116.318,6,0,0,KEGG_Random
RANDOM_MGC_4524,6,36,6,6,-18.59,-18.59,-3.098333333333333,-3.098333333333333,49.15260488888888,7.010891875424187,-5.1185,-7.263999999999999,3.2295,-12.832,6.446,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,0.1032777777777777,small,3.8371247402869137,3.8371247402869137,6,-3.098333333333333,7.010891875424187,-5.1185,0,0,6,KEGG_Random
RANDOM_MGC_4522,6,36,6,6,17.254,17.254,2.875666666666667,2.875666666666667,105.38327488888888,10.265635630046924,5.163,-7.20875,11.57075,-10.548,15.102,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.0958555555555555,small,3.20249693749518,3.20249693749518,6,2.875666666666667,10.265635630046924,5.163,0,0,6,KEGG_Random
RANDOM_MGC_4511,6,36,6,6,-168.654,-168.654,-28.109,-28.109,999.189358,31.60995662761972,-26.0845,-28.14425,-14.724,-90.746,14.029,0.1666666666666666,0.5,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,0.9369666666666666,small,0.0598229229567404,0.0598229229567404,6,-28.109,31.60995662761972,-26.0845,1,3,2,KEGG_Random
RANDOM_MGC_7299,2,4,2,2,-125.101,-125.101,-62.5505,-62.5505,247.79482225000007,15.741500000000002,-62.5505,-70.42125,-54.67975,-78.292,-46.809,0.5,0.5,0.0,0.6931471805599453,1.4142135623730951,-30.0,2.0850166666666667,small,-2.0678143760124508,-2.0678143760124508,2,-62.5505,15.741500000000002,-62.5505,1,1,0,KEGG_Random
RANDOM_MGC_4528,6,36,6,6,-52.09400000000001,-52.09400000000001,-8.682333333333334,-8.682333333333334,241.5313628888889,15.541279319569831,-6.257,-16.67075,4.9915,-35.883,7.704,0.0,0.1666666666666666,0.8333333333333334,1.791759469228055,2.449489742783178,-30.0,0.2894111111111111,small,1.371680299177373,1.371680299177373,6,-8.682333333333334,15.541279319569831,-6.257,0,1,5,KEGG_Random
RANDOM_MGC_6298,30,900,30,30,-346.2289999999999,-346.2289999999999,-11.540966666666664,-11.540966666666664,485.8651215655556,22.042348367756908,-5.819,-24.943,5.691000000000001,-68.073,15.4,0.0333333333333333,0.2333333333333333,0.7333333333333333,3.4011973816621555,5.477225575051661,-30.0,0.3846988888888888,medium,0.8374349695123606,0.8374349695123606,30,-11.540966666666664,22.042348367756908,-5.819,1,7,22,KEGG_Random
RANDOM_MGC_4526,6,36,6,6,-100.965,-100.965,-16.8275,-16.8275,647.2880109166668,25.441855492802933,-11.69,-22.171750000000003,-1.881,-66.933,13.625,0.1666666666666666,0.0,0.8333333333333334,1.791759469228055,2.449489742783178,-30.0,0.5609166666666667,small,0.517749187111226,0.517749187111226,6,-16.8275,25.441855492802933,-11.69,1,0,5,KEGG_Random
