cluster_name,category,mean_cladepp_score,weighted_cladepp_score,positive_correlation_ratio,n_clades_analyzed,total_clades,conservation_level
MGC_CANDIDATE_72,MGC_CANDIDATE,0.574468255221076,0.5407908824636822,0.5090128768959645,97,97,High
MGC_CANDIDATE_73,MGC_CANDIDATE,0.39992689226270633,0.4046854792357029,0.426298088428908,102,102,Medium
MGC_CANDIDATE_74,MGC_CANDIDATE,0.5774189814297732,0.5690197531584337,0.6162677732538765,89,89,High
MGC_CANDIDATE_75,MGC_CANDIDATE,0.11337026795644733,0.1322165634340081,0.0029541752472797833,101,101,Low
MGC_CANDIDATE_76,MGC_CANDIDATE,0.49504898773521233,0.5372047919722633,0.5356921266176868,87,87,High
MGC_CANDIDATE_77,MGC_CANDIDATE,0.4135535198676132,0.43874553002758676,0.2658811814985096,89,89,Medium
MGC_CANDIDATE_78,MGC_CANDIDATE,0.37074008483333526,0.3070953667770152,0.5899374019772313,106,106,Medium
MGC_CANDIDATE_79,MGC_CANDIDATE,0.4140762701177872,0.42123305367829217,0.3629289631897773,87,87,Medium
MGC_CANDIDATE_80,MGC_CANDIDATE,0.18347860737076097,0.1806344425644763,0.2884046738676552,103,103,Medium
MGC_CANDIDATE_81,MGC_CANDIDATE,0.3795383876388199,0.3733269720516882,0.3996550268954033,92,92,Medium
MGC_CANDIDATE_82,MGC_CANDIDATE,0.44350378418065267,0.3741658050406593,0.46768333428256975,87,87,Medium
MGC_CANDIDATE_83,MGC_CANDIDATE,0.5677984495618341,0.5060351158395769,0.4511910569772084,105,105,High
MGC_CANDIDATE_84,MGC_CANDIDATE,0.34642383279345246,0.3440675449077221,0.43076791870161624,91,91,Medium
MGC_CANDIDATE_85,MGC_CANDIDATE,0.31423805943914546,0.3492553591654824,0.31910277263058545,100,100,Medium
MGC_CANDIDATE_86,MGC_CANDIDATE,0.3482551438664749,0.3276898219638632,0.3952691127349139,104,104,Medium
MGC_CANDIDATE_87,MGC_CANDIDATE,0.50541809485316,0.48520446790205635,0.4963466625686483,105,105,High
MGC_CANDIDATE_88,MGC_CANDIDATE,0.440358498061259,0.5187903976565755,0.4533628043529215,86,86,Medium
MGC_CANDIDATE_89,MGC_CANDIDATE,0.3451495934022354,0.3349047807088395,0.25643243397905857,92,92,Medium
MGC_CANDIDATE_90,MGC_CANDIDATE,0.46082135833227117,0.4548864620001538,0.44553225064919877,86,86,Medium
MGC_CANDIDATE_91,MGC_CANDIDATE,0.41466590022269767,0.40988709209315227,0.37267697939076316,84,84,Medium
MGC_CANDIDATE_92,MGC_CANDIDATE,0.5113227294500974,0.44252399305522666,0.4407656096744859,105,105,High
MGC_CANDIDATE_93,MGC_CANDIDATE,0.3260423118890016,0.3446853500982073,0.33949488585849297,93,93,Medium
MGC_CANDIDATE_94,MGC_CANDIDATE,0.3675622679423075,0.34356500525908445,0.40390096352415905,100,100,Medium
MGC_CANDIDATE_95,MGC_CANDIDATE,0.3604152058176437,0.3593314150546996,0.38549240679062835,99,99,Medium
MGC_CANDIDATE_96,MGC_CANDIDATE,0.24159619225214804,0.252332073866462,0.23137011276850147,86,86,Medium
MGC_CANDIDATE_97,MGC_CANDIDATE,0.43673973872646144,0.5215789481161036,0.4778506442294869,74,74,Medium
MGC_CANDIDATE_98,MGC_CANDIDATE,0.4328510296847497,0.3758112176177937,0.4570674508829272,84,84,Medium
MGC_CANDIDATE_99,MGC_CANDIDATE,0.4044670823416489,0.43945276440877284,0.4142198027911468,100,100,Medium
MGC_CANDIDATE_100,MGC_CANDIDATE,0.3778842869086962,0.41071197372672624,0.394499388905592,88,88,Medium
MGC_CANDIDATE_101,MGC_CANDIDATE,0.24693538470660906,0.23117560366243997,0.36523568368340265,79,79,Medium
MGC_CANDIDATE_102,MGC_CANDIDATE,0.35725043370532167,0.3786677346777796,0.23674307756505664,116,116,Medium
MGC_CANDIDATE_103,MGC_CANDIDATE,0.36589296011718125,0.4260251319331591,0.33403334313539196,88,88,Medium
MGC_CANDIDATE_104,MGC_CANDIDATE,0.31492745084332247,0.29083640755474166,0.3487449117056097,99,99,Medium
MGC_CANDIDATE_105,MGC_CANDIDATE,0.38601341457623956,0.3953344726671568,0.22773982432797296,100,100,Medium
MGC_CANDIDATE_106,MGC_CANDIDATE,0.4487092400207323,0.46687305125801004,0.5869676883533393,95,95,Medium
MGC_CANDIDATE_107,MGC_CANDIDATE,0.6130780164442478,0.6458273477263861,0.6385598040166959,89,89,High
MGC_CANDIDATE_108,MGC_CANDIDATE,0.4232606794430509,0.45582177477611097,0.5189508558854249,99,99,Medium
MGC_CANDIDATE_109,MGC_CANDIDATE,0.43246233833115455,0.4396543958213242,0.5444385261866429,101,101,Medium
MGC_CANDIDATE_110,MGC_CANDIDATE,0.395643947941532,0.4159577399198088,0.4368892408325973,109,109,Medium
MGC_CANDIDATE_111,MGC_CANDIDATE,0.1911082722233363,0.17368925677811203,0.0,104,104,Medium
MGC_CANDIDATE_112,MGC_CANDIDATE,0.4009596112126818,0.40753548891740565,0.41572903338570283,101,101,Medium
MGC_CANDIDATE_113,MGC_CANDIDATE,0.4105795302824598,0.391021932970734,0.4317682216353196,92,92,Medium
MGC_CANDIDATE_114,MGC_CANDIDATE,0.6770735502746181,0.5938050879703156,0.5683868747174776,102,102,High
MGC_CANDIDATE_115,MGC_CANDIDATE,0.3825671690057735,0.36308897011649394,0.20359982333049176,98,98,Medium
MGC_CANDIDATE_116,MGC_CANDIDATE,0.4373416002647976,0.44912604924134536,0.483508530544933,81,81,Medium
MGC_CANDIDATE_117,MGC_CANDIDATE,0.40005046473968847,0.4174845550341071,0.2751314310178949,98,98,Medium
MGC_CANDIDATE_118,MGC_CANDIDATE,0.2742936056279939,0.23950058304103164,0.48043532652467247,92,92,Medium
MGC_CANDIDATE_119,MGC_CANDIDATE,0.5306390501297158,0.48088226190055217,0.5569527783110314,103,103,High
MGC_CANDIDATE_120,MGC_CANDIDATE,0.48728937332496325,0.5226011037657341,0.6224405450754542,87,87,High
MGC_CANDIDATE_121,MGC_CANDIDATE,0.4916254429270739,0.5166072960375561,0.494741782863852,86,86,High
MGC_CANDIDATE_122,MGC_CANDIDATE,0.30304893126326343,0.32993248262865776,0.37820281406089173,117,117,Medium
MGC_CANDIDATE_123,MGC_CANDIDATE,0.5594698890828134,0.63599588282047,0.5647962822057851,109,109,High
MGC_CANDIDATE_124,MGC_CANDIDATE,0.24843471713633603,0.2617977003285782,0.34899201017390336,92,92,Medium
MGC_CANDIDATE_125,MGC_CANDIDATE,0.46898245170244995,0.4495287019049028,0.26514926154891527,78,78,Medium
MGC_CANDIDATE_126,MGC_CANDIDATE,0.6468215289023266,0.6542502391093414,0.7356363132912687,101,101,High
