cluster_name,category,mean_cladepp_score,weighted_cladepp_score,positive_correlation_ratio,n_clades_analyzed,total_clades,conservation_level,cladepp_largest_clade_fraction,cladepp_multi_clade_high,cladepp_multi_clade_medium,cladepp_multi_clade_low,cladepp_conservation_consistency,cladepp_max_pair_score
MGC_CANDIDATE_29,MGC_CANDIDATE,0.3372891692880045,0.308422742252412,0.1689664444050723,99,99,Medium,0.0010053619302949062,0.047058823529411764,0.10588235294117647,0.2823529411764706,0.0,0.9712290499064224
MGC_CANDIDATE_30,MGC_CANDIDATE,0.3715511631479256,0.392437563379675,0.3022388289794706,99,99,Medium,0.0056433408577878106,0.045454545454545456,0.11363636363636363,0.32954545454545453,0.0,0.9944706755690812
MGC_CANDIDATE_31,MGC_CANDIDATE,0.3371707367037598,0.3668976125348214,0.2681651082943997,106,106,Medium,0.023614895549500452,0.05747126436781609,0.14942528735632185,0.40229885057471265,0.03658574687037908,0.9741647513245952
MGC_CANDIDATE_32,MGC_CANDIDATE,0.6093176506620412,0.671445901764433,0.5876600629870071,89,89,High,0.03700756068444091,0.06,0.62,0.94,0.7116655935721778,0.9567690652076928
MGC_CANDIDATE_33,MGC_CANDIDATE,0.4024031577765631,0.3959278178820663,0.2926484388156284,74,74,Medium,0.02857142857142857,0.08064516129032258,0.532258064516129,0.8709677419354839,0.461915039448475,0.9726510715889496
MGC_CANDIDATE_34,MGC_CANDIDATE,0.2865998579787906,0.2747409941703012,0.3317646521759572,92,92,Medium,0.08378378378378379,0.09836065573770492,0.39344262295081966,0.8524590163934426,0.42809409021476097,0.9426281408709568
MGC_CANDIDATE_35,MGC_CANDIDATE,0.4951202307522436,0.4641485610243813,0.4257015238218692,111,111,High,0.0032123353678123997,0.1095890410958904,0.2054794520547945,0.5616438356164384,0.32504561563672807,0.9962476757071268
MGC_CANDIDATE_36,MGC_CANDIDATE,0.2685084392182136,0.2491071984621991,0.3273706328185859,76,76,Medium,0.016986706056129987,0.05555555555555555,0.18518518518518517,0.48148148148148145,0.24240016692916966,0.9363972290696227
MGC_CANDIDATE_37,MGC_CANDIDATE,0.4270629726860273,0.4263271404418788,0.4267775483028576,96,96,Medium,0.0022953328232593728,0.10144927536231885,0.30434782608695654,0.6811594202898551,0.24322491165686333,0.9983488239542068
MGC_CANDIDATE_38,MGC_CANDIDATE,0.1865725832617328,0.1826668156678979,0.0892650693606939,90,90,Medium,0.0009115770282588879,0.0,0.011235955056179775,0.11235955056179775,0.0,0.7511654362140016
