group_name,dataset_group,num_promoters,num_comparisons,similarity_score,normalized_similarity,similarity_category,size_adjustment_factor,comparison_weight,std_adjustment_factor,similarity_std,mean_proximal_similarity,mean_distal_similarity,num_tfbs_types_found,status,error_msg
RANDOM_MGC_9396,Random,4,6,67.46,64.96,High Similarity,0.96,0.95,1.0,6.61,0.668,0.691,26.0,success,
RANDOM_MGC_9399,Random,4,6,54.01,52.01,High Similarity,0.96,0.95,1.0,10.82,0.504,0.624,24.0,success,
RANDOM_MGC_9400,Random,3,3,50.8,45.77,Moderate Similarity,0.92,0.85,1.0,4.98,0.486,0.56,24.0,success,
RANDOM_MGC_9401,Random,4,6,66.29,63.83,High Similarity,0.96,0.95,1.0,5.44,0.632,0.736,23.0,success,
RANDOM_MGC_9402,Random,4,6,58.96,56.78,High Similarity,0.96,0.95,1.0,7.11,0.587,0.595,28.0,success,
RANDOM_MGC_9404,Random,5,10,30.55,29.94,Low Similarity,1.0,1.0,0.9,27.39,0.345,0.213,24.0,success,
RANDOM_MGC_9406,Random,3,3,45.28,40.8,Moderate Similarity,0.92,0.85,1.0,8.14,0.421,0.528,21.0,success,
RANDOM_MGC_9403,Random,5,10,60.89,60.89,High Similarity,1.0,1.0,1.0,5.22,0.584,0.667,24.0,success,
RANDOM_MGC_9405,Random,4,6,61.22,58.96,High Similarity,0.96,0.95,1.0,7.96,0.611,0.615,25.0,success,
RANDOM_MGC_9408,Random,3,3,57.87,52.14,High Similarity,0.92,0.85,1.0,6.66,0.593,0.545,25.0,success,
RANDOM_MGC_9407,Random,4,6,64.69,62.3,High Similarity,0.96,0.95,1.0,5.26,0.689,0.549,26.0,success,
RANDOM_MGC_9410,Random,3,3,60.0,54.06,High Similarity,0.92,0.85,1.0,6.35,0.576,0.655,22.0,success,
RANDOM_MGC_9411,Random,3,3,63.34,57.07,High Similarity,0.92,0.85,1.0,6.6,0.654,0.585,19.0,success,
RANDOM_MGC_9412,Random,4,6,43.73,41.24,Moderate Similarity,0.96,0.95,0.9,27.29,0.415,0.488,26.0,success,
RANDOM_MGC_9413,Random,3,3,61.49,55.4,High Similarity,0.92,0.85,1.0,4.77,0.658,0.514,25.0,success,
RANDOM_MGC_9409,Random,5,10,50.42,50.42,High Similarity,1.0,1.0,1.0,7.73,0.508,0.495,27.0,success,
RANDOM_MGC_9414,Random,4,6,50.4,48.54,Moderate Similarity,0.96,0.95,1.0,7.45,0.514,0.48,26.0,success,
RANDOM_MGC_9415,Random,3,3,52.34,47.16,Moderate Similarity,0.92,0.85,1.0,10.6,0.494,0.592,24.0,success,
RANDOM_MGC_9418,Random,3,3,71.79,64.68,High Similarity,0.92,0.85,1.0,8.28,0.698,0.764,26.0,success,
RANDOM_MGC_9420,Random,4,6,32.14,30.31,Moderate Similarity,0.96,0.95,0.9,35.46,0.33,0.303,24.0,success,
RANDOM_MGC_9416,Random,5,10,58.61,58.61,High Similarity,1.0,1.0,1.0,6.81,0.577,0.607,23.0,success,
RANDOM_MGC_9421,Random,3,3,56.16,50.6,High Similarity,0.92,0.85,1.0,2.53,0.564,0.557,23.0,success,
RANDOM_MGC_9417,Random,5,10,48.62,48.62,Moderate Similarity,1.0,1.0,1.0,11.95,0.395,0.699,28.0,success,
RANDOM_MGC_9419,Random,5,10,55.7,55.7,High Similarity,1.0,1.0,1.0,10.18,0.498,0.694,25.0,success,
RANDOM_MGC_9422,Random,3,3,69.68,62.78,High Similarity,0.92,0.85,1.0,6.29,0.697,0.696,23.0,success,
RANDOM_MGC_9424,Random,3,3,61.59,55.49,High Similarity,0.92,0.85,1.0,2.14,0.662,0.509,24.0,success,
RANDOM_MGC_9423,Random,4,6,46.55,44.83,Moderate Similarity,0.96,0.95,1.0,11.83,0.383,0.658,23.0,success,
RANDOM_MGC_9425,Random,4,6,58.22,56.07,High Similarity,0.96,0.95,1.0,10.29,0.59,0.563,25.0,success,
RANDOM_MGC_9430,Random,3,3,52.35,47.17,Moderate Similarity,0.92,0.85,1.0,3.42,0.478,0.629,21.0,success,
RANDOM_MGC_9427,Random,4,6,60.8,58.55,High Similarity,0.96,0.95,1.0,6.72,0.597,0.634,24.0,success,
RANDOM_MGC_9431,Random,2,1,33.93,27.62,Low Similarity,0.88,0.7,1.0,,0.217,0.624,24.0,success,
RANDOM_MGC_9426,Random,5,10,57.7,57.7,High Similarity,1.0,1.0,1.0,6.9,0.559,0.618,28.0,success,
RANDOM_MGC_9429,Random,4,6,61.84,59.55,High Similarity,0.96,0.95,1.0,5.75,0.612,0.634,24.0,success,
RANDOM_MGC_9428,Random,5,10,51.8,51.8,High Similarity,1.0,1.0,1.0,10.42,0.422,0.742,24.0,success,
RANDOM_MGC_9432,Random,4,6,58.02,55.87,High Similarity,0.96,0.95,1.0,5.41,0.523,0.714,24.0,success,
RANDOM_MGC_9433,Random,4,6,63.02,60.69,High Similarity,0.96,0.95,1.0,1.92,0.613,0.67,23.0,success,
RANDOM_MGC_9435,Random,4,6,50.84,48.96,Moderate Similarity,0.96,0.95,1.0,7.06,0.471,0.597,25.0,success,
