name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,total_interactions,mean_score,std_score,median_score,high_score_interactions,medium_score_interactions,low_score_interactions,category
RANDOM_MGC_581,20,400,20,20,-64.834,-64.834,-3.2417,-3.2417,802.2370279100002,28.323789081088712,9.405,-5.6375,12.41225,-85.012,17.834,0.1,0.0,0.9,2.995732273553991,4.47213595499958,-30.0,0.1080566666666666,medium,0.9447288257723272,0.9447288257723272,20,-3.2417,28.323789081088712,9.405,2,0,18,RANDOM
RANDOM_MGC_582,20,400,20,20,-293.69,-293.69,-14.6845,-14.6845,622.55133855,24.950978709261086,-8.1435,-24.88475,2.55225,-83.124,12.557,0.1,0.15,0.75,2.995732273553991,4.47213595499958,-30.0,0.4894833333333333,medium,0.6138236170397326,0.6138236170397326,20,-14.6845,24.950978709261086,-8.1435,2,3,15,RANDOM
RANDOM_MGC_583,20,400,20,20,-67.243,-67.243,-3.36215,-3.36215,183.8870300275,13.560495198461595,-1.0495,-11.781,8.613,-30.31,14.579,0.0,0.15,0.85,2.995732273553991,4.47213595499958,-30.0,0.1120716666666666,medium,1.964371478338195,1.964371478338195,20,-3.36215,13.560495198461595,-1.0495,0,3,17,RANDOM
RANDOM_MGC_584,20,400,20,20,-83.874,-83.874,-4.1937,-4.1937,509.61148041,22.57457597409085,4.1385,-16.352249999999998,11.7945,-53.944,24.562,0.1,0.1,0.8,2.995732273553991,4.47213595499958,-30.0,0.13979,medium,1.1431576845393792,1.1431576845393792,20,-4.1937,22.57457597409085,4.1385,2,2,16,RANDOM
RANDOM_MGC_585,6,36,6,6,35.525,35.525,5.920833333333333,5.920833333333333,22.782132472222216,4.77306321686841,7.0255,5.282500000000001,7.71775,-3.481,12.305,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.1973611111111111,small,7.525740117245056,7.525740117245056,6,5.920833333333333,4.77306321686841,7.0255,0,0,6,RANDOM
RANDOM_MGC_586,6,36,6,6,-234.904,-234.904,-39.150666666666666,-39.150666666666666,3730.490317555555,61.07773995127484,-5.0755,-52.92025,0.908,-163.856,5.069,0.3333333333333333,0.0,0.6666666666666666,1.791759469228055,2.449489742783178,-30.0,1.3050222222222223,small,-0.1498199945506606,-0.1498199945506606,6,-39.150666666666666,61.07773995127484,-5.0755,2,0,4,RANDOM
RANDOM_MGC_587,6,36,6,6,77.3,77.3,12.883333333333333,12.883333333333333,4.725246222222223,2.173763147682429,12.855,11.51,14.323,9.576,16.14,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.4294444444444444,small,19.727693598565995,19.727693598565995,6,12.883333333333333,2.173763147682429,12.855,0,0,6,RANDOM
RANDOM_MGC_588,6,36,6,6,-86.832,-86.832,-14.472,-14.472,716.2687753333333,26.763198152189013,-6.177,-29.64525,8.229,-62.25,12.209,0.1666666666666666,0.1666666666666666,0.6666666666666666,1.791759469228055,2.449489742783178,-30.0,0.4824,small,0.580199717227365,0.580199717227365,6,-14.472,26.763198152189013,-6.177,1,1,4,RANDOM
RANDOM_MGC_589,12,144,12,12,87.557,87.557,7.296416666666666,7.296416666666666,46.986469576388885,6.854667721807446,9.721,1.37475,11.68075,-6.505,15.803,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.2432138888888889,medium,5.441024741142712,5.441024741142712,12,7.296416666666666,6.854667721807446,9.721,0,0,12,RANDOM
RANDOM_MGC_590,6,36,6,6,75.02799999999999,75.02799999999999,12.504666666666663,12.504666666666663,35.41792255555556,5.951295871955582,11.49,9.236,14.68525,4.356,23.457,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.4168222222222221,small,7.142085955928071,7.142085955928071,6,12.504666666666663,5.951295871955582,11.49,0,0,6,RANDOM
RANDOM_MGC_591,12,144,12,12,-858.1800000000001,-858.1800000000001,-71.515,-71.515,4797.964699333334,69.26734222801777,-68.993,-136.8705,-4.394500000000001,-170.966,16.707,0.5,0.0,0.5,2.4849066497880004,3.4641016151377544,-30.0,2.383833333333333,medium,-0.5993444914248162,-0.5993444914248162,12,-71.515,69.26734222801777,-68.993,6,0,6,RANDOM
RANDOM_MGC_599,12,144,12,12,91.683,91.683,7.640249999999999,7.640249999999999,87.90890285416668,9.375974768212991,12.2175,1.687,13.89275,-11.388,20.258,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.254675,medium,4.01454258682631,4.01454258682631,12,7.640249999999999,9.375974768212991,12.2175,0,0,12,RANDOM
RANDOM_MGC_592,12,144,12,12,-146.59799999999998,-146.59799999999998,-12.216499999999998,-12.216499999999998,678.3512879166666,26.04517782463131,-5.2425,-31.2045,11.191,-63.682,18.37,0.0833333333333333,0.25,0.6666666666666666,2.4849066497880004,3.4641016151377544,-30.0,0.4072166666666666,medium,0.6827943398866674,0.6827943398866674,12,-12.216499999999998,26.04517782463131,-5.2425,1,3,8,RANDOM
RANDOM_MGC_593,20,400,20,20,39.66,39.66,1.983,1.983,904.5250033999998,30.07532216618801,10.2835,6.871,11.57175,-124.05,21.509,0.05,0.0,0.95,2.995732273553991,4.47213595499958,-30.0,-0.0661,medium,1.0634300049479333,1.0634300049479333,20,1.983,30.07532216618801,10.2835,1,0,19,RANDOM
RANDOM_MGC_594,12,144,12,12,-77.59100000000001,-77.59100000000001,-6.465916666666668,-6.465916666666668,1441.6264577430554,37.96875633653354,8.186,-8.43275,11.14175,-120.738,23.217,0.0833333333333333,0.0833333333333333,0.8333333333333334,2.4849066497880004,3.4641016151377544,-30.0,0.2155305555555556,medium,0.6198276057488045,0.6198276057488045,12,-6.465916666666668,37.96875633653354,8.186,1,1,10,RANDOM
RANDOM_MGC_595,6,36,6,6,7.433999999999996,7.433999999999996,1.2389999999999992,1.2389999999999992,100.69636133333334,10.034757661913584,2.9565,-3.91275,10.08675,-16.622,11.882,0.0,0.0,1.0,1.791759469228055,2.449489742783178,-30.0,-0.0412999999999999,small,3.113079662956491,3.113079662956491,6,1.2389999999999992,10.034757661913584,2.9565,0,0,6,RANDOM
RANDOM_MGC_596,6,36,6,6,-140.207,-140.207,-23.367833333333333,-23.367833333333333,1204.4040071388888,34.704524303596045,-9.5375,-52.239,3.2262500000000003,-75.768,13.628,0.3333333333333333,0.0,0.6666666666666666,1.791759469228055,2.449489742783178,-30.0,0.7789277777777778,small,0.1911038056205095,0.1911038056205095,6,-23.367833333333333,34.704524303596045,-9.5375,2,0,4,RANDOM
RANDOM_MGC_597,6,36,6,6,-95.594,-95.594,-15.932333333333332,-15.932333333333332,242.66351488888884,15.577660764340994,-19.1845,-25.28125,-2.8525,-38.229,5.726,0.0,0.3333333333333333,0.6666666666666666,1.791759469228055,2.449489742783178,-30.0,0.5310777777777778,small,0.9030666978490846,0.9030666978490846,6,-15.932333333333332,15.577660764340994,-19.1845,0,2,4,RANDOM
RANDOM_MGC_598,6,36,6,6,-146.858,-146.858,-24.476333333333333,-24.476333333333333,764.3975542222223,27.647740490358743,-17.2725,-24.14375,-10.66225,-82.408,4.988,0.1666666666666666,0.1666666666666666,0.6666666666666666,1.791759469228055,2.449489742783178,-30.0,0.8158777777777778,small,0.1997872726197234,0.1997872726197234,6,-24.476333333333333,27.647740490358743,-17.2725,1,1,4,RANDOM
RANDOM_MGC_600,12,144,12,12,-96.595,-96.595,-8.049583333333333,-8.049583333333333,566.0667149097222,23.79215658383498,4.109500000000001,-31.59625,9.0885,-57.307,17.149,0.0833333333333333,0.25,0.6666666666666666,2.4849066497880004,3.4641016151377544,-30.0,0.2683194444444444,medium,0.922590459142336,0.922590459142336,12,-8.049583333333333,23.79215658383498,4.109500000000001,1,3,8,RANDOM
RANDOM_MGC_601,12,144,12,12,82.26700000000001,82.26700000000001,6.855583333333335,6.855583333333335,31.572445743055564,5.618936353355105,9.0945,5.008,10.6105,-3.973,12.287,0.0,0.0,1.0,2.4849066497880004,3.4641016151377544,-30.0,-0.2285194444444444,medium,6.559174373158118,6.559174373158118,12,6.855583333333335,5.618936353355105,9.0945,0,0,12,RANDOM
RANDOM_MGC_602,6,36,6,6,-345.788,-345.788,-57.63133333333334,-57.63133333333334,3897.1236212222216,62.426946275003885,-49.699,-79.517,-5.915999999999999,-175.017,9.405,0.5,0.1666666666666666,0.3333333333333333,1.791759469228055,2.449489742783178,-30.0,1.9210444444444448,small,-0.4426186924411051,-0.4426186924411051,6,-57.63133333333334,62.426946275003885,-49.699,3,1,2,RANDOM
RANDOM_MGC_603,6,36,6,6,-197.602,-197.602,-32.93366666666667,-32.93366666666667,2015.246343555556,44.89149522521561,-15.6955,-74.1455,5.2875000000000005,-97.51,12.646,0.3333333333333333,0.1666666666666666,0.5,1.791759469228055,2.449489742783178,-30.0,1.097788888888889,small,-0.0653501660381056,-0.0653501660381056,6,-32.93366666666667,44.89149522521561,-15.6955,2,1,3,RANDOM
